Site,X,Y,Site_Type,Depth
American Wreck,115.10548,5.12001,Wreck,22
Australian Wreck,115.1132,5.12155,Wreck,28
Petani Mistral,114.73572,5.3713,Wreck,33
Baiei Maru,115.12161,5.11386,Wreck,50
Cement Wreck,115.08125,5.221583333,Wreck,8
Bolkiah Wreck,114.952167,5.11873,Wreck,18
Dolphin Wreck,115.016902,5.08359,Wreck,11
Pelong Rock,115.056,5.081,Reef,1
Abana Reef,115.09569,5.09282,Reef,7
Rig Reef,114.948983,5.1053,Reef,14
Littledale Shoal,114.7635,5.10255,Reef,9
Labuan Wreck,115.08865,5.05504,Wreck,5
Chearnley Shoal,114.3288,4.848066667,Reef,11
Fairley Patches,114.3295,4.9335,Reef,12
Ampa Patches,114.3709,4.919966667,Reef,15
Cunningham Shoal,114.62335,4.980783333,Reef,7
Nankivell Rock,114.638,5.086,Reef,15
Victoria Patches,114.646,4.875,Reef,7
Otter's Pool Rock,114.665,5.041,Reef,9
Scout Rock,114.6580333,4.938483333,Reef,6
Brunei Patches,114.7153333,5.014483333,Reef,7
Hornet's Nest,114.73025,5.020083333,Reef,7
Columbo Reef,114.7286833,5.20875,Reef,10
Two Fathom Rock,114.9718333,5.096433333,Reef,8
Silk Rock,114.662,5.103,Reef,10
Mampak Patches,114.461,5.074,Reef,25
Champion Shoals,114.761,5.199,Reef,12
Browne Patch,114.277,4.866,Reef,7
Pulau Punyit,114.827,4.971,Reef,3
